date,open,high,low,close,volume
2025-03-03,5968.33,5986.09,5810.91,5849.71,5613850000.0
2025-03-04,5811.98,5865.08,5732.59,5778.14,6138110000.0
2025-03-05,5781.36,5860.59,5742.35,5842.62,5285970000.0
2025-03-06,5785.87,5812.08,5711.64,5738.53,5165080000.0
2025-03-07,5719.91,5783.01,5666.29,5770.19,5705140000.0
2025-03-10,5705.37,5705.37,5564.02,5614.55,6409370000.0
2025-03-11,5603.65,5636.3,5528.41,5572.08,6221240000.0
2025-03-12,5624.84,5642.19,5546.09,5599.29,5219830000.0
2025-03-13,5594.45,5597.78,5504.65,5521.53,5018980000.0
2025-03-14,5563.85,5645.27,5563.85,5638.93,4863180000.0
2025-03-17,5633.78,5703.52,5631.12,5675.11,5031770000.0
2025-03-18,5654.53,5654.53,5597.76,5614.65,4666270000.0
2025-03-19,5632.37,5715.33,5622.2,5675.3,4660090000.0
2025-03-20,5646.92,5711.15,5632.33,5662.88,4678420000.0
2025-03-21,5630.73,5670.84,5603.1,5667.57,9367460000.0
2025-03-24,5718.08,5775.14,5718.08,5767.56,4517990000.0
2025-03-25,5775.96,5786.95,5760.42,5776.66,4467340000.0
2025-03-26,5771.66,5783.62,5694.41,5712.21,4183140000.0
2025-03-27,5695.64,5732.28,5670.94,5693.32,4403460000.0
2025-03-28,5679.2,5685.89,5572.42,5580.95,4513330000.0
2025-03-31,5527.91,5627.56,5488.73,5611.84,5257250000.0
2025-04-01,5597.53,5650.57,5558.52,5633.06,4434500000.0
2025-04-02,5580.76,5695.31,5571.48,5670.98,4243830000.0
2025-04-03,5492.74,5499.53,5390.83,5396.51,7210470000.0
2025-04-04,5292.14,5292.14,5069.9,5074.09,8853500000.0
2025-04-07,4953.79,5246.57,4835.04,5062.24,8691980000.0
2025-04-08,5193.57,5267.47,4910.42,4982.78,7408140000.0
2025-04-09,4965.28,5481.34,4948.43,5456.89,9489600000.0
2025-04-10,5353.15,5353.15,5115.27,5268.06,6677140000.0
2025-04-11,5255.56,5381.46,5220.77,5363.35,5602550000.0
2025-04-14,5441.96,5459.46,5358.02,5405.96,5031440000.0
2025-04-15,5411.99,5450.41,5386.44,5396.62,4317110000.0
2025-04-16,5335.75,5367.24,5220.79,5275.71,4607750000.0
2025-04-17,5305.45,5328.31,5255.58,5282.69,4714880000.0
2025-04-21,5228.77,5228.77,5101.63,5158.19,4226340000.0
2025-04-22,5207.67,5309.61,5207.67,5287.77,4666950000.0
2025-04-23,5395.92,5469.69,5356.17,5375.85,5371390000.0
2025-04-24,5381.38,5489.4,5371.96,5484.78,4697710000.0
2025-04-25,5489.73,5528.11,5455.86,5525.22,4236580000.0
2025-04-28,5529.22,5553.66,5468.64,5528.74,4257880000.0
2025-04-29,5508.87,5571.95,5505.7,5560.82,4747150000.0
2025-04-30,5499.44,5581.84,5433.24,5569.07,5449490000.0
2025-05-01,5625.14,5658.91,5597.35,5604.13,4935270000.0
2025-05-02,5645.88,5700.7,5642.28,5686.66,4854380000.0
2025-05-05,5655.32,5683.38,5634.48,5650.37,4358260000.0
2025-05-06,5605.87,5649.58,5586.04,5606.9,4717260000.0
2025-05-07,5614.18,5654.73,5578.64,5631.27,4987440000.0
2025-05-08,5663.6,5720.1,5635.38,5663.95,5627400000.0
2025-05-09,5679.65,5691.69,5644.15,5659.9,4645090000.0
2025-05-12,5807.2,5845.37,5786.08,5844.2,6014580000.0
2025-05-13,5854.15,5906.64,5845.02,5886.54,5516290000.0
2025-05-14,5896.74,5906.55,5872.11,5892.57,5233450000.0
2025-05-15,5869.82,5924.21,5865.16,5916.92,4991290000.0
2025-05-16,5929.09,5958.62,5907.36,5958.37,4850850000.0
2025-05-19,5902.88,5968.61,5895.69,5963.59,4144010000.0
2025-05-20,5944.66,5953.06,5909.26,5940.45,4416850000.0
2025-05-21,5910.18,5938.37,5830.91,5844.62,5254250000.0
2025-05-22,5841.26,5878.08,5825.82,5842.0,5157050000.0
2025-05-23,5781.89,5829.51,5767.41,5802.83,4662820000.0
2025-05-27,5854.07,5924.33,5854.07,5921.53,5366380000.0
2025-05-28,5925.54,5939.92,5881.88,5888.56,4665050000.0
2025-05-29,5939.96,5943.13,5873.8,5912.18,4569750000.0
2025-05-30,5903.67,5922.14,5843.66,5911.68,6378540000.0
2025-06-02,5896.68,5937.4,5861.43,5935.95,4832240000.0
2025-06-03,5938.56,5981.35,5929.0,5970.36,5026680000.0
2025-06-04,5978.94,5990.48,5966.11,5970.82,4767050000.0
2025-06-05,5985.67,5999.7,5921.2,5939.29,5091850000.0
2025-06-06,5987.06,6016.87,5978.63,6000.37,4355710000.0
2025-06-09,6004.63,6021.31,5994.18,6005.89,4642360000.0
2025-06-10,6009.91,6043.01,6000.28,6038.8,4882880000.0
2025-06-11,6049.38,6059.4,6002.32,6022.25,5111550000.0
2025-06-12,6009.9,6045.43,6003.88,6045.25,4669500000.0
2025-06-13,6000.56,6026.16,5963.21,5976.96,5258910000.0
2025-06-16,6004.0,6050.83,6004.0,6033.12,5111710000.0
2025-06-17,6012.15,6023.25,5974.8,5982.73,4955700000.0
2025-06-18,5987.93,6018.25,5971.89,5980.86,5106470000.0
2025-06-20,5999.67,6018.2,5952.56,5967.85,7451500000.0
2025-06-23,5969.67,6028.77,5943.23,6025.16,5597000000.0
2025-06-24,6064.68,6101.76,6059.25,6092.19,5443690000.0
2025-06-25,6104.23,6108.51,6080.09,6092.15,5171110000.0
2025-06-26,6112.09,6146.52,6107.27,6141.01,5308140000.0
2025-06-27,6150.7,6187.68,6132.35,6173.08,7889350000.0
2025-06-30,6192.62,6215.08,6174.97,6204.94,5782900000.0
2025-07-01,6187.25,6210.78,6177.97,6198.02,6275310000.0
2025-07-02,6193.88,6227.6,6188.29,6227.41,5645710000.0
2025-07-03,6246.46,6284.65,6246.46,6279.36,3378110000.0
2025-07-07,6259.04,6262.07,6201.0,6229.99,5236740000.0
2025-07-08,6233.14,6242.7,6217.75,6225.51,5739030000.0
2025-07-09,6243.33,6269.16,6231.43,6263.25,4813340000.0
2025-07-10,6266.8,6290.22,6251.44,6280.47,5367350000.0
2025-07-11,6255.68,6269.44,6237.6,6259.74,4656210000.0
2025-07-14,6255.15,6273.31,6239.22,6268.55,4722250000.0
2025-07-15,6295.29,6302.04,6241.68,6243.77,5133670000.0
2025-07-16,6254.5,6268.12,6201.59,6263.71,5177460000.0
2025-07-17,6262.27,6304.69,6262.27,6297.35,5512290000.0
2025-07-18,6313.96,6313.96,6285.27,6296.78,5184700000.0
2025-07-21,6304.74,6336.08,6303.79,6305.59,5010840000.0
2025-07-22,6306.6,6316.12,6281.71,6309.63,5662040000.0
2025-07-23,6326.9,6360.64,6317.49,6358.9,5642510000.0
2025-07-24,6368.6,6381.31,6360.57,6363.36,5282720000.0
2025-07-25,6370.01,6395.82,6368.53,6388.65,4470720000.0
2025-07-28,6397.69,6401.07,6375.79,6389.76,4565620000.0
2025-07-29,6405.62,6409.26,6363.92,6370.87,5076120000.0
2025-07-30,6381.23,6396.54,6336.38,6362.89,5375070000.0
2025-07-31,6427.02,6427.02,6327.64,6339.38,6077080000.0
2025-08-01,6287.28,6287.28,6212.69,6238.0,5827150000.0
2025-08-04,6271.71,6330.69,6271.71,6329.93,4842580000.0
2025-08-05,6336.63,6346.0,6289.37,6299.2,5517410000.0
2025-08-06,6309.3,6352.83,6301.11,6345.05,5408560000.0
2025-08-07,6379.43,6389.71,6310.32,6339.99,5306090000.0
2025-08-08,6355.22,6395.16,6355.22,6389.44,4769910000.0
2025-08-11,6389.67,6407.25,6364.06,6373.46,4652400000.0
2025-08-12,6395.17,6446.55,6385.76,6445.75,5135300000.0
2025-08-13,6462.67,6480.28,6445.02,6466.59,5195950000.0
2025-08-14,6453.46,6473.92,6441.07,6468.53,4462050000.0
2025-08-15,6477.38,6481.34,6441.85,6449.79,4575060000.0
2025-08-18,6445.02,6455.35,6437.7,6449.16,4162290000.0
2025-08-19,6446.24,6456.48,6400.22,6411.36,4377440000.0
2025-08-20,6406.62,6408.4,6343.86,6395.79,4470390000.0
2025-08-21,6380.83,6393.65,6352.71,6370.18,4013560000.0
2025-08-22,6384.59,6478.89,6384.59,6466.92,5046860000.0
2025-08-25,6457.67,6466.89,6438.06,6439.31,4059070000.0
2025-08-26,6435.49,6468.37,6429.21,6465.95,4867680000.0
2025-08-27,6462.26,6487.06,6457.84,6481.41,4143680000.0
2025-08-28,6483.84,6508.23,6466.96,6501.85,4283760000.0
2025-08-29,6489.28,6491.08,6444.57,6460.25,4234840000.0
2025-09-02,6401.51,6416.54,6360.58,6415.53,4784000000.0
2025-09-03,6445.82,6453.67,6416.17,6448.27,4465360000.0
2025-09-04,6456.6,6502.54,6445.98,6502.09,4670770000.0
2025-09-05,6529.08,6532.65,6443.98,6481.51,5066120000.0
2025-09-08,6498.09,6508.67,6483.29,6495.16,5211500000.0
2025-09-09,6503.33,6518.23,6483.08,6512.62,4798350000.0
2025-09-10,6550.29,6555.97,6516.34,6532.03,5253010000.0
2025-09-11,6554.41,6592.89,6545.8,6587.48,5426460000.0
2025-09-12,6590.66,6600.21,6579.49,6584.28,4641640000.0
2025-09-15,6603.49,6619.62,6602.07,6615.29,5045020000.0
2025-09-16,6624.13,6626.99,6600.11,6606.77,5359510000.0
2025-09-17,6604.87,6624.39,6551.15,6600.36,5805340000.0
2025-09-18,6626.85,6656.8,6611.89,6631.95,5292400000.0
2025-09-19,6647.11,6671.82,6630.31,6664.37,9125960000.0
2025-09-22,6654.28,6698.88,6648.07,6693.74,5642620000.0
2025-09-23,6692.44,6699.52,6645.58,6656.93,5633620000.0
2025-09-24,6669.79,6672.66,6621.76,6637.98,5459180000.0
2025-09-25,6608.19,6619.0,6569.22,6604.73,5874670000.0
2025-09-26,6615.38,6648.97,6604.43,6643.71,5103110000.0
2025-09-29,6661.58,6677.31,6644.49,6661.2,5358760000.0
2025-09-30,6656.19,6691.25,6641.0,6688.47,6057210000.0
2025-10-01,6664.92,6718.48,6656.2,6711.19,6037950000.0
2025-10-02,6731.31,6731.94,6693.23,6715.36,5416130000.0
2025-10-03,6722.14,6750.87,6705.67,6715.78,5713110000.0
2025-10-06,6733.86,6749.52,6717.78,6740.29,5604460000.0
2025-10-07,6746.14,6754.49,6699.96,6714.58,5546150000.0
2025-10-08,6723.87,6755.64,6718.09,6753.71,5383130000.0
2025-10-09,6760.5,6764.58,6716.17,6735.12,5385020000.0
2025-10-10,6740.49,6762.4,6550.78,6552.52,6596610000.0
2025-10-13,6628.27,6668.68,6620.71,6654.71,5303960000.0
2025-10-14,6592.64,6680.7,6555.07,6644.3,5666920000.0
2025-10-15,6688.27,6724.12,6612.11,6671.07,5633060000.0
2025-10-16,6689.02,6709.34,6593.99,6629.08,6048180000.0
2025-10-17,6611.9,6678.88,6603.76,6664.0,5358120000.0
2025-10-20,6690.05,6744.35,6690.05,6735.14,4672170000.0
2025-10-21,6736.75,6752.16,6722.03,6735.34,5245020000.0
2025-10-22,6741.34,6741.75,6655.69,6699.41,5710010000.0
2025-10-23,6703.65,6749.53,6700.14,6738.43,5565750000.0
2025-10-24,6772.07,6807.11,6772.07,6791.68,5058220000.0
2025-10-27,6845.46,6877.28,6843.94,6875.15,5290650000.0
2025-10-28,6897.74,6911.3,6870.73,6890.88,5695930000.0
2025-10-29,6910.95,6920.34,6851.91,6890.6,6280130000.0
2025-10-30,6860.5,6880.75,6820.69,6822.35,6052700000.0
2025-10-31,6874.6,6874.6,6814.26,6840.19,6398280000.0
2025-11-03,6882.32,6882.32,6820.62,6851.98,6065720000.0
2025-11-04,6788.52,6820.21,6766.71,6771.54,5739510000.0
2025-11-05,6769.71,6829.78,6763.11,6796.3,5939600000.0
2025-11-06,6787.59,6796.68,6707.51,6720.31,6051900000.0
2025-11-07,6696.18,6730.11,6631.44,6728.81,5926070000.0
2025-11-10,6785.36,6841.32,6770.56,6832.42,5366050000.0
2025-11-11,6815.64,6855.13,6806.87,6846.62,4983490000.0
2025-11-12,6867.77,6869.91,6829.62,6850.93,5293610000.0
2025-11-13,6826.47,6828.05,6724.72,6737.48,5473720000.0
2025-11-14,6672.14,6774.31,6646.87,6734.1,5042660000.0
2025-11-17,6713.61,6754.5,6638.9,6672.42,5204220000.0
2025-11-18,6641.19,6666.63,6574.32,6617.33,5159390000.0
2025-11-19,6625.84,6689.75,6603.5,6642.15,5021610000.0
2025-11-20,6737.93,6770.35,6534.05,6538.77,5596080000.0
2025-11-21,6555.77,6660.05,6521.92,6602.98,5929930000.0
2025-11-24,6636.54,6715.75,6630.7,6705.11,6039740000.0
2025-11-25,6697.03,6776.4,6659.98,6765.89,5003330000.0
2025-11-26,6793.55,6831.44,6783.87,6812.6,4485000000.0
2025-11-28,6822.52,6850.86,6819.75,6849.08,2558540000.0
2025-12-01,6812.3,6843.65,6799.94,6812.62,4549370000.0
2025-12-02,6830.96,6851.55,6806.71,6829.38,4582290000.0
2025-12-03,6815.29,6862.42,6810.43,6849.71,4736780000.0
2025-12-04,6866.47,6866.47,6827.12,6857.13,4872440000.0
2025-12-05,6866.32,6895.78,6858.29,6870.39,4944560000.0
2025-12-08,6875.2,6878.27,6827.19,6846.5,4757130000.0
2025-12-09,6840.61,6864.92,6837.43,6840.5,4508050000.0
2025-12-10,6833.49,6900.67,6824.69,6886.69,5526570000.0
2025-12-11,6861.3,6903.46,6833.45,6901.01,5021060000.0
2025-12-12,6886.85,6899.85,6801.79,6827.42,4910160000.0
2025-12-15,6860.19,6861.59,6801.49,6816.52,4975600000.0
2025-12-16,6800.12,6819.27,6759.74,6800.25,4983180000.0
2025-12-17,6802.88,6812.26,6720.43,6721.42,5122120000.0
2025-12-18,6778.06,6816.13,6758.5,6774.75,5101190000.0
